station_id,bikes_out,bikes_in,station_name,lat,lng,bikes_chng,ride_date
6224.03,9.0,11.0,W 22 St & 8 Ave,40.74475148,-73.99915362,2.0,2023-02-01 13:00:00
7619.05,2.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,1.0,2023-02-01 13:00:00
6224.03,7.0,3.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-4.0,2023-02-01 14:00:00
6306.01,10.0,11.0,W 20 St & 10 Ave,40.745686,-74.005141,1.0,2023-02-01 14:00:00
5905.12,3.0,7.0,Broadway & E 14 St,40.73454567,-73.99074142,4.0,2023-02-01 14:00:00
5980.07,2.0,6.0,E 17 St & Broadway,40.73704984,-73.99009296,4.0,2023-02-01 14:00:00
5905.14,14.0,18.0,University Pl & E 14 St,40.734814,-73.992085,4.0,2023-02-01 14:00:00
6266.06,7.0,12.0,9 Ave & W 22 St,40.745516062,-74.001939893,5.0,2023-02-01 14:00:00
7631.23,2.0,2.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,0.0,2023-02-01 14:00:00
7617.07,13.0,6.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-7.0,2023-02-01 14:00:00
7646.04,0.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,2.0,2023-02-01 14:00:00
7619.05,5.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 14:00:00
7617.07,4.0,8.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4.0,2023-02-01 15:00:00
5905.12,19.0,16.0,Broadway & E 14 St,40.73454567,-73.99074142,-3.0,2023-02-01 15:00:00
6224.03,4.0,8.0,W 22 St & 8 Ave,40.74475148,-73.99915362,4.0,2023-02-01 15:00:00
5980.07,5.0,12.0,E 17 St & Broadway,40.73704984,-73.99009296,7.0,2023-02-01 15:00:00
7619.05,3.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,0.0,2023-02-01 15:00:00
5905.14,20.0,23.0,University Pl & E 14 St,40.734814,-73.992085,3.0,2023-02-01 15:00:00
7631.23,2.0,4.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,2.0,2023-02-01 15:00:00
6306.01,9.0,5.0,W 20 St & 10 Ave,40.745686,-74.005141,-4.0,2023-02-01 15:00:00
7646.04,2.0,3.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-01 15:00:00
6266.06,14.0,11.0,9 Ave & W 22 St,40.745516062,-74.001939893,-3.0,2023-02-01 15:00:00
6224.03,7.0,9.0,W 22 St & 8 Ave,40.74475148,-73.99915362,2.0,2023-02-01 16:00:00
5905.12,21.0,11.0,Broadway & E 14 St,40.73454567,-73.99074142,-10.0,2023-02-01 16:00:00
7646.04,4.0,3.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-1.0,2023-02-01 16:00:00
5905.14,15.0,20.0,University Pl & E 14 St,40.734814,-73.992085,5.0,2023-02-01 16:00:00
